RX: /dev/ttyUSB0, TX: /dev/ttyUSB1
[0000062173] [DS:3E|CON: NO] a-->b 3a|00|23|b2|07|00|1f|00|00|83|00|1a|80|4c|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000062226] [DS:3E|CON: NO] a<--b 3a|00|03|b4|01|13|0a
[WARNING] Code: 0x3E. Do a on/off cycle of Android BLE.
[0000062262] [DS:13|CON: NO] a-->b 3a|00|23|b2|07|00|1f|00|00|83|00|1a|80|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|0a
[0000062270] [DS:13|CON: NO] a-->b 3a|00|06|b3|03|30|01|64|32|0a
[0000062274] [DS:13|CON: NO] a-->b 3a|00|02|b2|00|0a
[0000062277] [DS:13|CON: NO] a-->b 3a|00|02|b2|01|0a
[0000062280] [DS:13|CON: NO] a-->b 3a|00|02|b2|06|0a
[0000062284] [DS:13|CON: NO] a-->b 3a|00|02|b2|07|0a
[0000062288] [DS:13|CON: NO] a-->b 3a|00|02|b2|03|0a
[0000062291] [DS:13|CON: NO] a-->b 3a|00|02|b2|04|0a
[0000062294] [DS:13|CON: NO] a-->b 3a|00|02|b2|0a|0a
[0000062555] [DS:13|CON: NO] a<--b 3a|00|03|b4|00|00|0a
[0000062570] [DS:13|CON: NO] a-->b 3a|00|06|b3|05|33|01|64|32|0a
[0000065327] [DS:13|CON: NO] a<--b 3a|00|16|b2|05|00|12|00|00|06|00|0a|e2|99|92|99|92|f9|c0|07|00|00|ff|00|00|0a
7seg setting: seq(00)
[0000065343] [DS:13|CON: NO] a-->b 3a|00|0a|b2|06|00|06|00|00|06|00|01|00|0a
[0000065711] [DS:13|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000066261] [DS:13|CON: NO] a<--b 3a|00|09|b2|05|00|05|01|00|01|00|00|0a
auth init: seq(01)
[0000066288] [DS:13|CON: NO] a-->b 3a|00|1a|b2|06|00|16|01|00|01|00|11|00|4a|5d|27|8e|14|ce|a8|12|14|ce|a8|12|da|60|23|74|0a
[0000066371] [DS:13|CON: NO] a<--b 3a|00|4f|b2|05|00|4b|02|00|02|00|46|00|00|00|00|00|00|36|51|67|35|64|46|44|76|61|4c|63|35|56|42|63|64|56|67|5a|41|70|57|59|53|79|51|47|6c|39|4d|68|79|fe|b5|81|e5|98|b8|6f|66|fb|49|43|c7|78|bb|64|2e|0b|ec|3e|92|3d|e8|49|91|52|80|9d|69|04|c4|18|62|0a
[0000066407] [DS:13|CON: NO] a-->b 3a|00|18|b2|01|00|14|00|00|42|00|0f|90|78|56|34|12|89|67|45|23|01|23|00|00|00|00|0a
[0000066416] [DS:13|CON: NO] a-->b 3a|00|0b|b2|00|00|07|00|00|41|00|02|1f|07|0a
[0000066445] [DS:13|CON: NO] a-->b 3a|00|27|b2|0a|00|23|00|0f|00|00|1e|4b|6f|68|61|2e|2c|43|6f|20|20|53|41|56|4c|30|31|39|31|20|20|ff|00|00|a2|00|01|01|06|00|80|0a
[0000066454] [DS:13|CON: NO] a-->b 3a|00|0a|b2|06|00|06|02|00|02|00|01|00|0a
[0000066524] [DS:13|CON: NO] a<--b 3a|00|09|b2|08|00|05|03|00|08|00|00|0a
[0000066550] [DS:13|CON: NO] a-->b 3a|00|23|b2|07|00|1f|00|00|83|00|1a|80|7d|a3|16|00|7d|a3|16|00|41|04|46|00|00|00|00|00|7d|a3|16|00|00|00|00|00|7d|0a
[0000066576] [DS:13|CON: NO] a-->b 3a|00|0a|b2|09|00|06|00|00|08|00|01|00|0a
[0000066592] [DS:13|CON: NO] a-->b 3a|00|15|b2|0a|00|11|00|24|f7|33|b1|d1|52|8f|92|2c|77|ce|41|dc|c7|7b|0a|0a
